flight_id,timestamp_min,battery_soc_pct,altitude_ft,payload_lbs,ambient_temp_c,ticket_revenue,firmware_version,is_alert,phase
FL-00001,0,99.0745,982.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,1,97.25416666666666,2980.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,2,95.43366666666667,4978.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,3,93.61316666666667,6976.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,4,91.79283333333333,8974.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,5,89.97233333333334,10972.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,6,88.15183333333333,12970.35,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,7,86.38583333333332,14734.425,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CLIMB
FL-00001,8,84.935,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,9,83.53500000000001,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,10,82.13433333333334,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,11,80.73166666666665,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,12,79.33166666666666,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,13,77.93166666666666,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,14,76.53166666666667,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,15,75.13166666666666,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,16,73.73166666666665,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,17,72.33166666666666,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,18,70.9285,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
FL-00001,19,69.52833333333334,15000.0,1249.080237694725,-3.4285407156632877,3122.7005942368123,v2.1,False,CRUISE
